City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Arica,CL,25.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
465,Tahoua,NE,32.99,clear sky,14.8888,5.2692,Bungalows Guesthouse
473,Asuncion,PY,31.69,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
474,Manggar,ID,26.4,broken clouds,-2.8833,108.2667,Guest Hotel
476,Kontagora,NG,28.74,overcast clouds,10.3999,5.4695,Queens Guest Inn
483,Trincomalee,LK,26.72,clear sky,8.5711,81.2335,Welcombe Hotel
484,Teresina,BR,33.84,scattered clouds,-5.0892,-42.8019,Metropolitan Hotel‎
487,Euclides Da Cunha,BR,34.22,overcast clouds,-10.5075,-39.0158,Hotel e Posto Bastos
491,Caldas Novas,BR,27.77,broken clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
492,Mitsamiouli,KM,27.16,few clouds,-11.3847,43.2844,Foyer ADM
494,Hambantota,LK,25.09,clear sky,6.1241,81.1185,Bungalow 63
497,Kirakira,SB,26.17,overcast clouds,-10.4544,161.9205,SanBiz Lodge
509,Kralendijk,BQ,27.99,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
511,Itaituba,BR,32.09,scattered clouds,-4.2761,-55.9836,Hotel Campos
512,Hermosillo,MX,26.62,clear sky,29.0667,-110.9667,ibis Hermosillo
518,Jacupiranga,BR,28.52,broken clouds,-24.6925,-48.0022,HOTEL SUZYELLEM
525,Sao Raimundo Das Mangabeiras,BR,29.8,overcast clouds,-7.0219,-45.4811,Hotel Tropical
527,Omboue,GA,25.69,moderate rain,-1.5746,9.2618,Hotel Olako
529,Tiarei,PF,27.78,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
532,Pauini,BR,30.55,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
537,La Palma,US,30.37,fog,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
542,Maumere,ID,27.28,overcast clouds,-8.6199,122.2111,Sylvia Hotel
543,Tambun,ID,28.05,broken clouds,-6.2641,107.0712,Metland Hotel Bekasi
546,Necochea,AR,26.13,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
555,Mount Isa,AU,25.87,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
557,Biak,ID,25.01,overcast clouds,-0.9131,122.8766,Penginapan Kim
558,Kalabo,ZM,28.21,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
