City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Katobu,ID,-4.9408,122.5276,24.98,91,100,1.37,light rain
259,Kandla,IN,23.0333,70.2167,22.39,60,100,6.39,overcast clouds
260,Athabasca,CA,54.7169,-113.2854,4.9,67,78,6.17,broken clouds
261,Mahebourg,MU,-20.4081,57.7,25.16,78,40,3.6,light rain
262,Skibbereen,IE,51.55,-9.2667,5.89,80,14,10.26,light rain
263,Rio Piracicaba,BR,-19.9292,-43.1742,26.28,73,64,2.34,broken clouds
264,Poum,NC,-20.2333,164.0167,26.99,79,8,4.88,clear sky
265,Uribia,CO,11.7139,-72.266,32.65,43,66,7.59,broken clouds
266,Mossendjo,CG,-2.9506,12.7261,21.54,98,100,1.11,moderate rain
267,Los Llanos De Aridane,ES,28.6585,-17.9182,17.29,74,40,0.89,volcanic ash
268,Susangerd,IR,31.5608,48.1831,21.01,44,100,4.73,overcast clouds
269,Bunia,CD,1.5667,30.25,19.79,69,100,0.5,overcast clouds
270,Auburn,US,47.3073,-122.2284,14.69,81,75,0.45,broken clouds
271,Borba,BR,-4.3878,-59.5939,29.56,78,90,0.77,overcast clouds
272,Visnes,NO,59.3556,5.2242,1.01,80,0,2.57,clear sky
273,Lagoa,PT,39.05,-27.9833,17.4,83,42,6.39,scattered clouds
274,Idlib,SY,35.9306,36.6339,11.66,59,12,3.66,few clouds
275,Umm Lajj,SA,25.0213,37.2685,25.38,66,2,4.45,clear sky
276,Bonthe,SL,7.5264,-12.505,27.64,74,61,3.34,broken clouds
277,Ostrovnoy,RU,68.0531,39.5131,-3.87,81,100,15.65,light snow
278,Saint George,US,37.1041,-113.5841,17.42,34,1,1.54,clear sky
279,Saldanha,ZA,-33.0117,17.9442,16.51,75,57,11.6,broken clouds
280,Aykhal,RU,66.0,111.5,-24.33,98,100,1.52,overcast clouds
281,Saint-Francois,FR,46.4154,3.9054,8.6,85,75,2.57,broken clouds
282,Tyssedal,NO,60.1165,6.562,0.48,75,48,2.3,scattered clouds
283,Sabha,LY,27.0377,14.4283,15.74,25,98,3.58,overcast clouds
284,Fairbanks,US,64.8378,-147.7164,-18.84,77,90,0.0,light snow
285,Belmonte,BR,-15.8631,-38.8828,28.28,75,63,6.33,broken clouds
286,Evensk,RU,61.95,159.2333,-23.79,79,95,5.71,overcast clouds
287,Svetlogorsk,BY,52.6333,29.7333,-4.95,95,36,2.76,scattered clouds
288,San Rafael,AR,-34.6177,-68.3301,28.25,32,15,4.36,few clouds
289,Tazovskiy,RU,67.4667,78.7,-26.41,95,82,4.37,broken clouds
290,Chokurdakh,RU,70.6333,147.9167,-30.21,100,98,3.41,overcast clouds
291,Millerovo,RU,48.9226,40.3967,0.0,93,100,4.9,light snow
292,Saravan,AM,39.7196,45.6483,2.36,89,100,2.86,overcast clouds
293,Camocim,BR,-2.9022,-40.8411,31.12,59,63,8.41,broken clouds
294,Santa Vitoria,BR,-18.8386,-50.1214,29.7,61,58,3.51,broken clouds
295,Nalut,LY,30.3333,10.85,14.27,29,27,2.53,scattered clouds
296,Xinzhi,CN,36.4989,111.7047,1.88,27,2,0.62,clear sky
297,Vilhena,BR,-12.7406,-60.1458,22.12,100,75,2.06,broken clouds
298,Yarada,IN,17.65,83.2667,23.18,73,20,1.03,mist
299,Rio Grande,BR,-32.035,-52.0986,23.3,61,49,5.66,scattered clouds
300,Zhezkazgan,KZ,47.8043,67.7144,-1.78,76,100,4.92,overcast clouds
301,Lavrentiya,RU,65.5833,-171.0,-24.81,89,5,3.39,clear sky
302,Hami,CN,42.8,93.45,-3.17,57,4,1.07,clear sky
303,Katsuura,JP,35.1333,140.3,10.08,54,23,4.58,few clouds
304,Lima,PE,-12.0432,-77.0282,21.19,73,90,3.09,overcast clouds
305,Terrak,NO,65.087,12.3715,-1.99,92,75,1.19,broken clouds
306,Vila Velha,BR,-20.3297,-40.2925,27.97,85,0,2.57,clear sky
307,Yumen,CN,40.2833,97.2,-5.56,39,0,0.89,clear sky
308,Qaqortoq,GL,60.7167,-46.0333,3.28,89,94,14.07,light rain
309,Caibarien,CU,22.5206,-79.4669,27.62,66,35,5.3,scattered clouds
310,Homer,US,59.6425,-151.5483,-8.06,76,90,8.23,light snow
311,Santa Cruz,BO,-17.8,-63.1667,30.03,58,40,6.69,scattered clouds
312,Diamantino,BR,-14.4086,-56.4461,29.19,69,100,1.19,overcast clouds
313,Swellendam,ZA,-34.0226,20.4417,16.9,74,92,3.69,light rain
